expiry,forward,discount,n_quotes,alpha,beta,rho,nu,atm_vol,rmse,converged,obs_date
2019-03-01,270.8171778453958,0.9979940564920079,97,0.12881962384226323,1.0,-0.43923263147068076,3.0157323230462776,0.1463504808556705,0.005254943757924921,True,2019-01-31
2019-03-29,278.932194776175,0.9979842163410876,65,0.11247834563983683,1.0,-0.6621935868420543,3.2233332030291346,0.11731999937440585,0.0015902495940917887,True,2019-02-28
2019-04-29,283.356665371037,0.9978222699703986,45,0.11229597405292284,1.0,-0.6053616176099592,2.375177282665026,0.10804781077247477,0.0033486340422782877,True,2019-03-29
2019-05-29,294.94911126854345,0.9978906958213277,34,0.09356520287968802,1.0,-0.48809365302602553,3.4354441733484777,0.10793910688283283,0.004059462213808297,True,2019-04-30
2019-07-01,274.59379229497824,0.9979268822743648,39,0.17952077575531283,1.0,-0.9628339108080884,1.3334284896727011,0.1911628818592747,0.005120141909306601,True,2019-05-31
2019-07-29,294.3116696197998,0.99798602500687,35,0.12508565538932195,1.0,-0.5782295648942047,2.542437534200333,0.13526656065149512,0.003694059576898499,True,2019-06-28
2019-08-30,297.96675341642265,0.998030182311491,51,0.13276653958011858,1.0,-0.7301164585120652,2.809689152831256,0.1421270478340272,0.0033597939806176416,True,2019-07-31
2019-09-30,292.3345107700511,0.9982150688754666,77,0.16538118035727686,1.0,-0.9571258112405366,2.1748942891860406,0.16342610432698862,0.005223758476689869,True,2019-08-30
2019-10-30,298.02866324739466,0.9981942555525898,44,0.13991418501160913,1.0,-0.8625838976308602,2.3843014188982483,0.13143510097392852,0.0029064574052576277,True,2019-09-30
2019-11-29,303.72496536404327,0.9986567766477058,58,0.10639994577424082,1.0,-0.6130304223916656,2.9528121082719103,0.11280852445947086,0.0018672832535982986,True,2019-10-31
2019-12-30,313.92473803168497,0.9986165272668625,28,0.10463920198143883,1.0,-0.7733878068828245,2.80041880826481,0.10800453044728904,0.001225671296929673,True,2019-11-29
2020-01-29,322.690850263171,0.9987692511440549,30,0.107547994358764,1.0,-0.6790284365689545,3.0984880745950476,0.11324290037302573,0.0020449720916213936,True,2019-12-31
2020-03-02,322.52533044632196,0.9986561157526115,47,0.1607476786798309,1.0,-0.9989999991045,1.9704677517261784,0.16397077070278104,0.0026068080183085118,True,2020-01-31
2020-03-30,296.60461936849634,0.998735062462669,53,0.3719739440498764,1.0,-0.9989999999999992,2.3773780189160143,0.36697522962546303,0.011410582165767425,True,2020-02-28
2020-04-29,256.79992828950026,0.9999674053807589,54,0.4721374309240919,1.0,-0.9234348055123203,2.723043651087915,0.4556541182033963,0.0041096149668277335,True,2020-03-31
2020-05-29,289.44028404758,0.9999558951782396,85,0.2916807694862872,1.0,-0.7831895158304572,2.8389607347172334,0.29210434022048365,0.005455551057390777,True,2020-04-30
2020-06-29,304.1429885377572,0.9999264581363546,55,0.22653367547962486,1.0,-0.7794298565229615,2.650276177038152,0.22747850386410406,0.002391484632256936,True,2020-05-29
2020-07-29,308.29545191178863,0.9999057624188586,54,0.24327214279558262,1.0,-0.6953287204179077,2.6885102950097,0.24557795503232285,0.005272762347471986,True,2020-06-30
2020-08-31,326.7172346690948,0.9999178950719287,72,0.1927042682912178,1.0,-0.7396275518057333,2.6098929236780206,0.19170119838223565,0.00257994284382496,True,2020-07-31
2020-09-30,349.4892391074201,0.999920748406767,100,0.19208053259138574,1.0,-0.6592229828381769,3.405815418636321,0.2052915840965847,0.0031581968769791506,True,2020-08-31
2020-10-30,333.7374241592624,0.9999289669672411,77,0.22699439450203898,1.0,-0.5905624823349269,2.4393865582830743,0.23174543666549302,0.00523759099191942,True,2020-09-30
2020-11-30,327.2216379334913,0.9999235645651723,78,0.32436506146060895,1.0,-0.8448824569235884,2.312714754950974,0.3263961344436675,0.006760091210422372,True,2020-10-30
2020-12-30,361.60229330949926,0.9999286710068273,35,0.1678563114024155,1.0,-0.6397047572216868,2.7629622127207005,0.1714752444619013,0.001121886873330617,True,2020-11-30
2021-01-29,374.38199082679944,0.9999394554055462,91,0.1732338456840983,1.0,-0.6787235690373257,3.129535863567235,0.17501359575295078,0.0019037869693358516,True,2020-12-31
2021-03-01,369.5032869330636,0.9999490423942733,53,0.27538587533930037,1.0,-0.9464622704619318,2.7393266824890903,0.2670262308477597,0.005195469209557958,True,2021-01-29
2021-03-29,379.7499109446778,0.9999830373692303,34,0.21900038538240987,1.0,-0.8489422580804559,2.7487857364032164,0.21916217994357673,0.003575591854359608,True,2021-02-26
2021-04-30,396.2252865672212,0.9999864987819934,58,0.14932837025824436,1.0,-0.6204358701062412,3.0852756985458187,0.15197110283812387,0.0013107450770046007,True,2021-03-31
2021-05-28,417.68508580306883,0.9999923287965471,92,0.14574016443041285,1.0,-0.7277771498801954,3.1379640415094654,0.14576845552981818,0.0013208141901136744,True,2021-04-30
2021-06-28,419.1175222309163,0.9999915068853817,57,0.12147716929362494,1.0,-0.7070991633100465,3.344264878778005,0.12432263153197598,0.0008584217782781047,True,2021-05-28
2021-07-30,428.65625982040706,0.9999589049540136,95,0.11044276059425087,1.0,-0.7041168484379963,3.6355713525496225,0.11069311291012576,0.0008915797540751259,True,2021-06-30
2021-08-30,439.07223154360224,0.9999547120641209,83,0.13193115650147247,1.0,-0.784002222039768,3.320232088983648,0.1295290786149243,0.0017432184170024598,True,2021-07-30
2021-09-30,451.56713678342885,0.9999615459144997,113,0.1164928818801491,1.0,-0.7993828883715661,3.753036476879713,0.10348745774231899,0.003158163752229613,True,2021-08-31
2021-10-29,430.02507545499736,0.9999627396612841,99,0.19936055656936272,1.0,-0.9513273165158599,2.4729780463970754,0.19782630426855524,0.005556005143642454,True,2021-09-30
2021-11-29,459.3701431126277,0.9999575351482327,73,0.12056274837969719,1.0,-0.7710969238853129,3.218077880636992,0.12070949547372802,0.0012255981046120099,True,2021-10-29
2021-12-29,456.3948567848266,0.9999602747616709,45,0.20287295233244435,1.0,-0.8305711133171815,3.256190386276918,0.20504890715555377,0.0034732367726614467,True,2021-11-30
2022-01-31,475.4397028976855,0.9999547120641209,48,0.12308843461491331,1.0,-0.68076544490026,3.303497005093087,0.12647130110476387,0.0020755067094290923,True,2021-12-31
2022-03-02,449.1206983013408,0.9999140096929008,83,0.20244623623344934,1.0,-0.6994120112918334,2.753002533816196,0.20313114071985372,0.0017405709809623197,True,2022-01-31
2022-03-30,435.52518351102157,0.9998796793826951,70,0.2515704529942691,1.0,-0.8602375280927299,2.339650872993884,0.24759749268823683,0.0016796812485285954,True,2022-02-28
2022-04-29,452.17524109958026,0.9997129353785824,98,0.17233370978223256,1.0,-0.720860317463751,2.6464335389453737,0.1739824830435529,0.002563415636161913,True,2022-03-31
