expiry,tte,strike,forward,discount,mid,option_type,iv
2026-09-10,0.04657534246575343,7930.0,7672.331809962207,0.998290960044722,4.65,call,0.10428900675667668
2026-09-10,0.04657534246575343,7950.0,7672.331809962207,0.998290960044722,3.45,call,0.10354247617607334
2026-09-10,0.04657534246575343,7975.0,7672.331809962207,0.998290960044722,2.45,call,0.10359433151716321
2026-09-10,0.04657534246575343,6600.0,7672.331809962207,0.998290960044722,2.075,put,0.3082274204800245
2026-09-10,0.04657534246575343,6650.0,7672.331809962207,0.998290960044722,2.2750000000000004,put,0.29824634645494724
2026-09-10,0.04657534246575343,6875.0,7672.331809962207,0.998290960044722,3.55,put,0.2528471385299971
2026-09-10,0.04657534246575343,6925.0,7672.331809962207,0.998290960044722,3.9499999999999997,put,0.24259295096531638
2026-09-10,0.04657534246575343,6975.0,7672.331809962207,0.998290960044722,4.449999999999999,put,0.23261668017405962
2026-09-10,0.04657534246575343,7000.0,7672.331809962207,0.998290960044722,4.7,put,0.22733919070959047
2026-09-10,0.04657534246575343,7025.0,7672.331809962207,0.998290960044722,5.050000000000001,put,0.2226861822801074
2026-09-10,0.04657534246575343,7050.0,7672.331809962207,0.998290960044722,5.4,put,0.21777110161116606
2026-09-10,0.04657534246575343,7100.0,7672.331809962207,0.998290960044722,6.2,put,0.20788465668229425
2026-09-10,0.04657534246575343,7125.0,7672.331809962207,0.998290960044722,6.65,put,0.20286052391313825
2026-09-10,0.04657534246575343,7150.0,7672.331809962207,0.998290960044722,7.25,put,0.198420603279035
2026-09-10,0.04657534246575343,7175.0,7672.331809962207,0.998290960044722,7.949999999999999,put,0.19413917851580959
2026-09-10,0.04657534246575343,7200.0,7672.331809962207,0.998290960044722,8.600000000000001,put,0.18919666283939537
2026-09-10,0.04657534246575343,7290.0,7672.331809962207,0.998290960044722,12.2,put,0.17343344238844338
2026-09-10,0.04657534246575343,7300.0,7672.331809962207,0.998290960044722,12.7,put,0.17165680249500523
2026-09-10,0.04657534246575343,7375.0,7672.331809962207,0.998290960044722,17.85,put,0.15963537590876453
2026-09-10,0.04657534246575343,7400.0,7672.331809962207,0.998290960044722,20.05,put,0.15555842438642128
2026-09-10,0.04657534246575343,7425.0,7672.331809962207,0.998290960044722,22.6,put,0.1515554247350021
2026-09-10,0.04657534246575343,7450.0,7672.331809962207,0.998290960044722,25.55,put,0.14760830175180267
2026-09-10,0.04657534246575343,7475.0,7672.331809962207,0.998290960044722,28.65,put,0.14305837800037807
2026-09-10,0.04657534246575343,7500.0,7672.331809962207,0.998290960044722,32.65,put,0.13935692328033428
2026-09-10,0.04657534246575343,7510.0,7672.331809962207,0.998290960044722,34.400000000000006,put,0.1378503865254453
2026-09-10,0.04657534246575343,7520.0,7672.331809962207,0.998290960044722,36.25,put,0.13634228621178307
2026-09-10,0.04657534246575343,7525.0,7672.331809962207,0.998290960044722,37.0,put,0.13519396832781524
2026-09-10,0.04657534246575343,7540.0,7672.331809962207,0.998290960044722,40.099999999999994,put,0.13301467910143713
2026-09-10,0.04657534246575343,7550.0,7672.331809962207,0.998290960044722,42.15,put,0.13127412648778713
2026-09-10,0.04657534246575343,7560.0,7672.331809962207,0.998290960044722,44.5,put,0.12984018404522898
2026-09-10,0.04657534246575343,7575.0,7672.331809962207,0.998290960044722,48.05,put,0.1273117719980185
2026-09-10,0.04657534246575343,7590.0,7672.331809962207,0.998290960044722,51.900000000000006,put,0.12476203182351803
2026-09-10,0.04657534246575343,7600.0,7672.331809962207,0.998290960044722,54.65,put,0.12305678725276924
2026-09-10,0.04657534246575343,7610.0,7672.331809962207,0.998290960044722,57.65,put,0.1214943929351046
2026-09-10,0.04657534246575343,7615.0,7672.331809962207,0.998290960044722,59.15,put,0.12061488975538694
2026-09-10,0.04657534246575343,7620.0,7672.331809962207,0.998290960044722,60.7,put,0.11974666463777467
2026-09-10,0.04657534246575343,7635.0,7672.331809962207,0.998290960044722,65.8,put,0.11742046278535215
2026-09-10,0.04657534246575343,7640.0,7672.331809962207,0.998290960044722,67.5,put,0.1165016917259342
2026-09-10,0.04657534246575343,7650.0,7672.331809962207,0.998290960044722,71.1,put,0.11474624508808226
2026-09-10,0.04657534246575343,7660.0,7672.331809962207,0.998290960044722,75.0,put,0.11313782351372108
2026-09-10,0.04657534246575343,7670.0,7672.331809962207,0.998290960044722,79.05,put,0.11143474915776976
2026-09-11,0.049315068493150684,7675.0,7674.645440838248,0.9981892102393874,84.25,call,0.13425484173046123
2026-09-11,0.049315068493150684,7680.0,7674.645440838248,0.9981892102393874,81.3,call,0.13333076264272636
2026-09-11,0.049315068493150684,7685.0,7674.645440838248,0.9981892102393874,78.5,call,0.13256117503702336
2026-09-11,0.049315068493150684,7690.0,7674.645440838248,0.9981892102393874,75.8,call,0.13187180147261568
2026-09-11,0.049315068493150684,7695.0,7674.645440838248,0.9981892102393874,73.2,call,0.13126238987950095
